,회사명,거래소코드,회계년도,회생여부,이자보상배율(이자비용)
402,부산주공(주),005030,2017.0,0,-0.34
403,부산주공(주),005030,2018.0,0,-0.8
404,코스모신소재(주),005070,2011.0,0,0.33
405,코스모신소재(주),005070,2014.0,0,-1.49
406,코스모신소재(주),005070,2015.0,0,-0.93
407,코스모신소재(주),005070,2016.0,1,0.74
408,에스지씨에너지(주),005090,2014.0,1,0.55
409,에스지씨에너지(주),005090,2016.0,0,0.1
410,에스지씨에너지(주),005090,2017.0,0,-1.29
411,(주)한창,005110,2011.0,1,-2.77
412,(주)한창,005110,2015.0,1,-8.53
413,(주)동진쎄미켐,005290,2011.0,1,0.74
414,(주)국동,005320,2011.0,1,0.5
415,(주)국동,005320,2017.0,1,-2.28
416,(주)모나미,005360,2013.0,1,-0.2
417,코스모화학(주),005420,2012.0,0,0.44
418,코스모화학(주),005420,2013.0,0,-0.8
419,코스모화학(주),005420,2014.0,0,-1.73
420,코스모화학(주),005420,2015.0,0,-1.93
421,코스모화학(주),005420,2016.0,1,-0.79
422,코스모화학(주),005420,2018.0,0,0.78
423,(주)신한,005450,2011.0,0,-2.88
424,(주)신한,005450,2012.0,0,-1.9
425,(주)신한,005450,2013.0,1,-1.3
426,(주)신한,005450,2015.0,0,-0.75
427,(주)신한,005450,2016.0,1,-3.1
428,제이에스전선(주),005560,2011.0,1,-7.64
429,(주)대성합동지주,005620,2011.0,0,0.3
430,(주)대성합동지주,005620,2012.0,0,0.21
431,(주)대성합동지주,005620,2013.0,0,-0.94
432,(주)대성합동지주,005620,2014.0,0,-0.13
433,파미셀(주),005690,2011.0,0,-9.14
434,파미셀(주),005690,2012.0,0,-7.3
435,파미셀(주),005690,2013.0,0,-3.9
436,파미셀(주),005690,2014.0,0,-9.23
437,파미셀(주),005690,2015.0,0,-12.41
438,대림비앤코(주),005750,2011.0,0,0.62
439,대림비앤코(주),005750,2012.0,0,-1.23
440,대림비앤코(주),005750,2013.0,1,0.42
441,에스엘(주),005850,2018.0,1,0.53
442,한일사료(주),005860,2012.0,1,0.88
443,한일사료(주),005860,2015.0,1,-4.03
444,한일사료(주),005860,2017.0,0,-0.35
445,(주)휴니드테크놀러지스,005870,2011.0,0,0.06
446,(주)휴니드테크놀러지스,005870,2012.0,0,-1.46
447,(주)휴니드테크놀러지스,005870,2013.0,0,0.09
448,(주)휴니드테크놀러지스,005870,2014.0,1,0.17
449,대한해운(주),005880,2011.0,0,-1.85
450,대한해운(주),005880,2012.0,1,-0.84
451,(주)동양건설산업,005900,2011.0,0,-5.29
452,(주)이수화학,005950,2013.0,0,0.0
453,(주)이수화학,005950,2014.0,0,-0.99
454,(주)이수화학,005950,2015.0,1,0.0
455,(주)이수화학,005950,2018.0,0,0.35
456,동부건설(주),005960,2011.0,0,-1.3
457,동부건설(주),005960,2012.0,0,0.66
458,동부건설(주),005960,2013.0,0,-1.0
459,동부건설(주),005960,2014.0,0,-3.53
460,동부건설(주),005960,2015.0,1,-1.9
461,성지건설(주),005980,2011.0,1,-3.76
462,성지건설(주),005980,2015.0,0,-24.34
463,(주)국영지앤엠,006050,2011.0,0,-24.34
464,(주)국영지앤엠,006050,2012.0,1,-4.57
465,(주)국영지앤엠,006050,2015.0,1,-15.79
466,(주)국영지앤엠,006050,2018.0,1,-18.31
467,(주)화승인더스트리,006060,2013.0,1,0.86
468,(주)사조오양,006090,2013.0,0,0.34
469,(주)사조오양,006090,2014.0,1,-1.68
470,삼아알미늄(주),006110,2013.0,0,0.89
471,삼아알미늄(주),006110,2014.0,0,0.1
472,삼아알미늄(주),006110,2015.0,1,-0.79
473,(주)한국전자홀딩스,006200,2011.0,0,-0.35
474,(주)한국전자홀딩스,006200,2012.0,0,-11.91
475,(주)한국전자홀딩스,006200,2013.0,0,-1.78
476,(주)한국전자홀딩스,006200,2014.0,0,-0.24
477,(주)한국전자홀딩스,006200,2015.0,0,-2.26
478,(주)한국전자홀딩스,006200,2016.0,1,-7.73
479,대원전선(주),006340,2017.0,1,0.62
