"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016- 11- 15","4,440","4,430","4,490","4,415","129.07K","-0.67%"
"2016- 11- 14","4,470","4,330","4,485","4,300","284.39K","4.20%"
"2016- 11- 11","4,290","4,440","4,440","4,260","418.68K","-2.72%"
"2016- 11- 10","4,410","4,320","4,455","4,320","511.33K","2.56%"
"2016- 11- 09","4,300","4,685","4,720","4,195","891.68K","-7.92%"
"2016- 11- 08","4,670","4,850","4,940","4,620","649.08K","-0.74%"
"2016- 11- 07","4,705","4,560","4,730","4,560","190.42K","2.84%"
"2016- 11- 04","4,575","4,460","4,585","4,425","140.72K","1.67%"
"2016- 11- 03","4,500","4,410","4,570","4,410","301.50K","0.67%"
"2016- 11- 02","4,470","4,650","4,800","4,410","290.08K","-4.89%"
"2016- 11- 01","4,700","4,535","4,765","4,535","150.33K","2.17%"
"2016- 10- 31","4,600","4,870","4,870","4,560","233.93K","-3.46%"
"2016- 10- 28","4,765","4,950","5,000","4,735","187.59K","-4.70%"
"2016- 10- 27","5,000","4,710","5,040","4,710","269.39K","5.71%"
"2016- 10- 26","4,730","4,700","4,880","4,630","271.65K","-0.73%"
"2016- 10- 25","4,765","4,855","4,890","4,630","481.99K","-2.66%"
"2016- 10- 24","4,895","4,995","5,050","4,895","200.83K","-1.71%"
"2016- 10- 21","4,980","5,060","5,080","4,970","151.53K","-0.80%"
"2016- 10- 20","5,020","5,190","5,260","5,000","237.19K","-3.46%"
"2016- 10- 19","5,200","5,130","5,290","5,080","201.04K","1.96%"
"2016- 10- 18","5,100","5,040","5,170","5,020","225.37K","0.59%"
"2016- 10- 17","5,070","5,100","5,210","5,050","184.51K","-0.59%"
"2016- 10- 16","5,100","5,100","5,100","5,100","0.08K","0.00%"
"2016- 10- 14","5,100","5,210","5,260","5,060","448.37K","-3.23%"
"2016- 10- 13","5,270","5,340","5,480","5,170","520.91K","-1.13%"
"2016- 10- 12","5,330","5,240","5,430","5,210","392.70K","1.33%"
"2016- 10- 11","5,260","5,440","5,550","5,190","840.24K","-2.95%"
"2016- 10- 10","5,420","5,780","5,890","5,400","943.61K","-7.19%"
"2016- 10- 07","5,840","5,780","6,090","5,780","738.39K","0.00%"
"2016- 10- 06","5,840","6,080","6,130","5,700","698.56K","-3.95%"
"2016- 10- 05","6,080","6,130","6,150","6,050","198.97K","-1.30%"
"2016- 10- 04","6,160","6,000","6,220","6,000","568.99K","2.84%"
"2016- 10- 03","5,990","5,990","5,990","5,990","","0.00%"
"2016- 09- 30","5,990","6,110","6,140","5,970","341.37K","-1.96%"
"2016- 09- 29","6,110","6,150","6,210","6,060","373.50K","-0.65%"
"2016- 09- 28","6,150","6,250","6,250","6,040","807.24K","0.16%"
"2016- 09- 27","6,140","5,770","6,240","5,690","1.83M","4.96%"
"2016- 09- 26","5,850","5,900","5,990","5,800","219.69K","-1.85%"
"2016- 09- 25","5,960","5,960","5,960","5,960","","0.00%"
"2016- 09- 23","5,960","5,890","6,000","5,780","578.83K","1.19%"
"2016- 09- 22","5,890","5,630","5,930","5,550","637.41K","5.18%"
"2016- 09- 21","5,600","5,640","5,640","5,500","187.31K","0.00%"
"2016- 09- 20","5,600","5,370","5,620","5,350","313.40K","4.67%"
"2016- 09- 19","5,350","5,390","5,440","5,300","166.22K","-0.37%"
"2016- 09- 18","5,370","5,370","5,370","5,370","0.20K","0.00%"
