"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016- 01- 19","54,000","53,200","57,400","52,200","1.38K","-0.74%"
"2016- 01- 18","54,400","54,300","55,400","53,000","1.57K","-0.37%"
"2016- 01- 15","54,600","56,500","56,500","54,100","2.88K","-3.36%"
"2016- 01- 14","56,500","55,800","56,700","54,600","1.62K","0.71%"
"2016- 01- 13","56,100","57,100","57,900","54,100","3.35K","-1.92%"
"2016- 01- 12","57,200","57,900","58,000","57,000","0.29K","-1.21%"
"2016- 01- 11","57,900","60,900","60,900","56,600","0.78K","1.05%"
"2016- 01- 08","57,300","56,500","57,400","56,200","0.71K","-0.52%"
"2016- 01- 07","57,600","57,700","58,300","56,900","1.08K","-1.37%"
"2016- 01- 06","58,400","58,400","58,900","57,500","0.92K","0.00%"
"2016- 01- 05","58,400","57,500","58,600","55,000","1.12K","-0.51%"
"2016- 01- 04","58,700","58,800","59,300","58,000","0.80K","-0.17%"
"2015- 12- 30","58,800","57,500","59,000","57,500","1.34K","0.00%"
"2015- 12- 29","58,800","56,400","59,000","55,000","1.89K","2.44%"
"2015- 12- 28","57,400","58,000","58,000","56,100","0.53K","-1.03%"
"2015- 12- 24","58,000","58,800","58,800","56,700","1.05K","0.69%"
"2015- 12- 23","57,600","58,500","59,500","56,900","0.80K","-0.69%"
"2015- 12- 22","58,000","57,900","58,200","56,600","0.52K","0.87%"
"2015- 12- 21","57,500","58,000","58,200","56,000","0.92K","-0.86%"
"2015- 12- 18","58,000","56,100","58,000","55,600","1.63K","2.65%"
"2015- 12- 17","56,500","56,500","57,000","54,700","1.86K","1.62%"
"2015- 12- 16","55,600","54,500","57,000","53,800","1.77K","3.93%"
"2015- 12- 15","53,500","52,100","54,900","52,100","0.88K","0.19%"
"2015- 12- 14","53,400","55,000","55,900","53,000","1.56K","-2.91%"
"2015- 12- 11","55,000","54,800","59,600","53,000","3.17K","0.92%"
"2015- 12- 10","54,500","56,100","57,400","53,600","3.53K","-3.71%"
"2015- 12- 09","56,600","58,300","58,300","56,400","0.96K","-3.25%"
"2015- 12- 08","58,500","59,600","61,400","56,900","3.91K","-1.85%"
"2015- 12- 07","59,600","59,000","60,800","58,100","1.20K","1.02%"
"2015- 12- 04","59,000","58,100","59,200","57,000","0.70K","0.34%"
"2015- 12- 03","58,800","60,400","62,300","57,700","4.18K","-2.81%"
"2015- 12- 02","60,500","60,900","61,800","58,800","2.44K","-0.66%"
"2015- 12- 01","60,900","62,400","62,500","60,000","2.87K","-1.77%"
"2015- 11- 30","62,000","62,500","64,000","61,000","3.74K","-0.48%"
"2015- 11- 27","62,300","62,100","64,800","60,800","12.88K","3.32%"
"2015- 11- 26","60,300","59,700","61,100","59,700","1.64K","1.01%"
"2015- 11- 25","59,700","59,100","59,800","58,400","0.82K","0.17%"
"2015- 11- 24","59,600","59,200","60,000","58,500","2.01K","-0.67%"
"2015- 11- 23","60,000","60,900","61,000","59,000","1.02K","-1.15%"
"2015- 11- 20","60,700","60,000","60,700","59,400","0.74K","0.00%"
"2015- 11- 19","60,700","60,700","60,800","59,900","1.18K","-0.16%"
"2015- 11- 18","60,800","61,000","61,100","59,900","1.28K","0.16%"
"2015- 11- 17","60,700","59,500","61,000","58,200","2.91K","2.36%"
"2015- 11- 16","59,300","57,200","59,900","57,000","2.90K","0.68%"
"2015- 11- 13","58,900","60,800","62,700","57,100","7.06K","-6.06%"
"2015- 11- 12","62,700","64,600","64,600","61,000","2.11K","-0.32%"
"2015- 11- 11","62,900","63,500","63,900","61,800","1.05K","-0.16%"
"2015- 11- 10","63,000","66,800","66,800","60,200","4.72K","-4.55%"
"2015- 11- 09","66,000","67,500","72,000","64,600","4.33K","-2.22%"
"2015- 11- 06","67,500","69,800","69,800","66,500","2.29K","-3.02%"
"2015- 11- 05","69,600","70,100","70,100","67,700","2.00K","-0.43%"
"2015- 11- 04","69,900","70,200","71,300","69,300","0.57K","-0.99%"
"2015- 11- 03","70,600","70,300","73,000","68,400","1.55K","0.28%"
"2015- 11- 02","70,400","70,500","72,900","68,800","0.37K","-0.14%"
"2015- 10- 30","70,500","71,000","71,500","68,500","0.61K","0.14%"
"2015- 10- 29","70,400","71,000","71,000","68,900","1.04K","0.43%"
"2015- 10- 28","70,100","72,300","72,300","69,000","2.28K","-1.41%"
"2015- 10- 27","71,100","74,000","74,000","70,200","1.23K","-1.25%"
